***2017

Indiana,7277,1,7277,1459,881,1624,924,378,182,1828,6594
Michigan,7689,1,7688,1646,1109,1398,855,348,241,2090,9931
Ohio,8184,1,8183,1851,815,1975,673,465,283,2121,11603
Wisconsin,8626,--    ,8626,1843,1065,1934,619,763,307,2096,5752
,,,,,,,,,,,
Plains,8401,5,8396,1861,907,1676,806,703,273,2171,20984
Iowa,9146,--    ,9146,1988,1218,1671,1197,782,234,2057,3110
Kansas,8196,0,8195,1875,1060,1261,1038,614,261,2086,2901
Minnesota,9252,0,9252,1970,858,2369,578,773,319,2384,5452
Missouri,7174,11,7163,1639,621,1419,866,401,282,1934,6056
Nebraska,8283,23,8259,2083,1088,1392,681,684,236,2096,1880
North Dakota,11082,--    ,11082,2064,1376,1564,292,2277,224,3286,737
South Dakota,7611,--    ,7611,1549,798,1218,340,1105,213,2388,849
,,,,,,,,,,,
Southeast,7369,0,7369,1527,723,1447,861,464,279,2068,81249
Alabama,8184,--    ,8184,1554,972,1622,1257,471,241,2066,4842
Arkansas,7379,0,7379,1643,889,1880,447,557,218,1745,2968
Florida,6929,--    ,6929,1298,500,1277,660,505,365,2324,19860
Georgia,6502,--    ,6502,1729,608,1121,680,341,239,1785,10069
Kentucky,7700,--    ,7700,1524,842,1881,620,619,182,2032,4414
Louisiana,8661,--    ,8661,1659,661,1747,1028,466,306,2794,4644
Mississippi,8054,--    ,8054,1473,918,1819,1324,531,232,1757,2991
North Carolina,7477,--    ,7477,1340,933,1378,1316,421,284,1806,9934
South Carolina,7672,--    ,7672,1641,785,1414,1434,315,229,1854,4824
Tennessee,6585,--    ,6585,1408,577,1578,617,364,273,1768,6541
Virginia,8023,0,8022,1933,877,1329,766,541,269,2307,8312
West Virginia,7972,--    ,7972,1713,893,2005,406,658,198,2099,1849
,,,,,,,,,,,
Southwest,7220,1,7218,1635,960,1324,739,455,270,1835,39680
Arizona,6451,--    ,6451,1184,752,1323,589,304,303,1997,6734
New Mexico,8904,--    ,8904,1678,1148,2061,852,513,324,2328,2090
Oklahoma,7411,14,7397,1528,923,1724,593,621,256,1752,3878
Texas,7254,--    ,7254,1760,1003,1210,788,465,259,1769,26977
,,,,,,,,,,,
Rocky Mountain,8004,2,8002,1605,984,1299,773,569,297,2475,11525
Colorado,8155,1,8154,1642,945,1263,768,515,329,2691,5351
Idaho,6776,--    ,6776,1201,626,1518,612,541,253,2026,1631
Montana,7912,--    ,7912,1684,816,1442,471,867,304,2329,1022
Utah,7244,--    ,7244,1454,1246,1170,649,433,245,2047,2937
Wyoming,14057,33,14024,3022,1326,1413,2426,1304,371,4161,583
,,,,,,,,,,,
Far West [2],9381,53,9328,1693,916,1798,1051,483,383,3003,52461
California,9690,72,9618,1716,934,1920,1090,463,412,3084,38625
